adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000920148-24-000002	920148	LABORATORY CORP OF AMERICA HOLDINGS	8071	US	NC	BURLINGTON	27215	358 S MAIN ST		3362291127	US	NC	BURLINGTON	27215	358 S MAIN ST		US	DE	133757370	NATIONAL HEALTH LABORATORIES HOLDINGS INC	19940314	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 07:49:00.0	0	0	lh-20240102_htm.xml	1					
0000927089-24-000004	1901637	USCB FINANCIAL HOLDINGS, INC.	6022	US	FL	DORAL	33172	2301 NW 87TH AVENUE		(305) 715-5200	US	FL	DORAL	33172	2301 NW 87TH AVENUE		US	FL	874070846			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 16:41:00.0	0	0	uscb20240102_8k_htm.xml	1					
0000930413-24-000012	1901203	IRON HORSE ACQUISITIONS CORP.	6770	US	CA	TOLUCA LAKE	91610	P.O. BOX 2506		(310) 290-5383	US	CA	TOLUCA LAKE	91610	P.O. BOX 2506		US	DE	000000000				0	1231	8-K	20231231			20240102	2024-01-02 17:28:00.0	0	0	c107530_8k-ixbrl_htm.xml	1					
0000939057-24-000002	1046050	TIMBERLAND BANCORP INC	6036	US	WA	HOQUIAM	98550	624 SIMPSON AVE		3605334747	US	WA	HOQUIAM	98550	624 SIMPSON AVE		US	WA	911863696			4-NON	0	0930	8-K	20231231			20240102	2024-01-02 15:04:00.0	0	0	8k123123_htm.xml	1					
0000948708-24-000001	948708	SMITH MICRO SOFTWARE, INC.	7372	US	PA	PITTSBURGH	15237	5800 CORPORATE DRIVE		4128375300	US	PA	PITTSBURGH	15237	5800 CORPORATE DRIVE		US	DE	330029027	SMITH MICRO SOFTWARE, INC	20181023	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 16:06:00.0	0	0	smsi-20231227_htm.xml	1					
0000950103-24-000003	1852131	NEXTRACKER INC.	3812	US	CA	FREMONT	94555	6200 PASEO PADRE PARKWAY		510-270-2500	US	CA	FREMONT	94555	6200 PASEO PADRE PARKWAY		US	DE	000000000	NEXTRACKER LLC	20220215	4-NON	0	0331	8-K	20231231			20240102	2024-01-02 09:10:00.0	0	0	dp204261_8k_htm.xml	1					
0000950103-24-000038	1354327	PGT INNOVATIONS, INC.	3442	US	FL	NORTH VENICE	34275	1070 TECHNOLOGY DRIVE		941-480-1600	US	FL	NORTH VENICE	34275	1070 TECHNOLOGY DRIVE		US	DE	200634715	PGT, INC.	20060223	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:14:00.0	0	0	dp204648_8k_htm.xml	1					
0000950103-24-000050	1354327	PGT INNOVATIONS, INC.	3442	US	FL	NORTH VENICE	34275	1070 TECHNOLOGY DRIVE		941-480-1600	US	FL	NORTH VENICE	34275	1070 TECHNOLOGY DRIVE		US	DE	200634715	PGT, INC.	20060223	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 17:19:00.0	0	0	dp204666_8k_htm.xml	1					
0000950170-24-000014	352915	UNIVERSAL HEALTH SERVICES INC	8062	US	PA	KING OF PRUSSIA	19406	367 S GULPH RD		6107683300	US	PA	KING OF PRUSSIA	19406	367 S GULPH ROAD		US	DE	232077891			1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 09:03:00.0	0	0	uhs-20231227_htm.xml	1					
0000950170-24-000019	69488	MYERS INDUSTRIES INC	3089	US	OH	AKRON	44301	1293 S MAIN ST		330-253-5592	US	OH	AKRON	44301	1293 SOUTH MAIN STREET		US	OH	340778636	MYERS TIRE SUPPLY CO	19720609	2-ACC	0	1231	8-K	20231231			20240102	2024-01-02 09:22:00.0	0	0	mye-20231229_htm.xml	1					
0000950170-24-000033	1832168	LONGBOARD PHARMACEUTICALS, INC.	2834	US	CA	LA JOLLA	92037	4275 EXECUTIVE SQUARE	SUITE 950	619-592-9775	US	CA	LA JOLLA	92037	4275 EXECUTIVE SQUARE	SUITE 950			845009619			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 09:44:00.0	0	0	lbph-20240102_htm.xml	1					
0000950170-24-000048	1854149	AGRICULTURE & NATURAL SOLUTIONS ACQUISITION CORP	6770	US	NY	NEW YORK	10019	712 FIFTH AVE., 36TH FLOOR		(212) 271-6247	US	NY	NEW YORK	10019	712 FIFTH AVE., 36TH FLOOR		KY		981591619	ENERGY OPPORTUNITIES ACQUISITION CORP	20221212	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 09:58:00.0	0	0	ansc-20240102_htm.xml	1					
0000950170-24-000051	1330399	FEDERAL HOME LOAN BANK OF PITTSBURGH	6111	US	PA	PITTSBURGH	15219	601 GRANT STREET		412-288-3400	US	PA	PITTSBURGH	15219	601 GRANT STREET		US	PA	000000000			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 10:02:00.0	0	0	ck0001330399-20231227_htm.xml	1					
0000950170-24-000059	1058867	GUARANTY BANCSHARES INC /TX/	6021	US	TX	MOUNT PLEASANT	75455	201 SOUTH JEFFERSON AVENUE		9035729881	US	TX	MOUNT PLEASANT	75455	201 SOUTH JEFFERSON AVENUE		US	TX	751656431			2-ACC	0	1231	8-K	20231231			20240102	2024-01-02 10:13:00.0	0	0	gnty-20231229_htm.xml	1					
0000950170-24-000238	1178253	SCYNEXIS INC	2834	US	NJ	JERSEY CITY	07302-6548	1 EVERTRUST PLAZA	13TH FLOOR	201-884-5485	US	NJ	JERSEY CITY	07302-6548	1 EVERTRUST PLAZA	13TH FLOOR			562181648			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 16:01:00.0	0	0	scyx-20231226_htm.xml	1					
0000950170-24-000282	1318605	TESLA, INC.	3711	US	CA	PALO ALTO	94304	3500 DEER CREEK RD		650-681-5000	US	CA	PALO ALTO	94304	3500 DEER CREEK RD		US	DE	912197729	TESLA MOTORS INC	20050222	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:29:00.0	0	0	tsla-20240102_htm.xml	1					
0000950170-24-000286	1315257	KOPPERS HOLDINGS INC.	2400	US	PA	PITTSBURGH	15219	436 SEVENTH AVENUE		412-227-2001	US	PA	PITTSBURGH	15219	436 SEVENTH AVENUE		US	PA	201878963	KI HOLDINGS INC.	20050124	2-ACC	0	1231	8-K	20231231			20240102	2024-01-02 16:30:00.0	0	0	kop-20240101_htm.xml	1					
0000950170-24-000289	1076930	NOVANTA INC	3690	US	MA	BEDFORD	01730	125 MIDDLESEX TURNPIKE	.	781-266-5618	US	MA	BEDFORD	01730	125 MIDDLESEX TURNPIKE	.	CA	NB	980110412	GSI GROUP INC	20050622	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:31:00.0	0	0	novt-20240102_htm.xml	1					
0000950170-24-000295	1068851	PROSPERITY BANCSHARES INC	6022	US	TX	HOUSTON	77027	4295 SAN FELIPE	N/A	7136939300	US	TX	HOUSTON	77027	4295 SAN FELIPE		US	TX	742331986			1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:35:00.0	0	0	pb-20231229_htm.xml	1					
0000950170-24-000306	1484612	OUTSET MEDICAL, INC.	3845	US	CA	SAN JOSE	95134	3052 ORCHARD DRIVE		669-231-8200	US	CA	SAN JOSE	95134	3052 ORCHARD DRIVE		US	DE	200514392	HOME DIALYSIS PLUS, LTD.	20100219	1-LAF	0		8-K	20231231			20240102	2024-01-02 16:41:00.0	0	0	om-20240102_htm.xml	1					
0000950170-24-000331	1849253	RYAN SPECIALTY HOLDINGS, INC.	6411	US	IL	CHICAGO	60601	180 NORTH STETSON AVENUE, SUITE 4600		(646) 604-3935	US	IL	CHICAGO	60601	180 NORTH STETSON AVENUE, SUITE 4600		US	DE	000000000	RYAN SPECIALTY GROUP HOLDINGS, INC.	20210511	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:52:00.0	0	0	ryan-20231228_htm.xml	1					
0000950170-24-000348	807707	VOXX INTERNATIONAL CORP	5065	US	NY	HAUPPAUGE	11788	180 MARCUS BLVD		6312317750	US	NY	HAUPPAUGE	11788	180 MARCUS BLVD		US	DE	131964841	AUDIOVOX CORP	19920703	2-ACC	0	0229	8-K	20231231			20240102	2024-01-02 17:03:00.0	0	0	voxx-20240102_htm.xml	1					
0001083301-24-000003	1083301	TERAWULF INC.	6199	US	MD	EASTON	21601	9 FEDERAL STREET		(410) 770-9500	US	MD	EASTON	21601	9 FEDERAL STREET				871909475	IKONICS CORP	20021216	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 17:09:00.0	0	0	wulf-20231226_htm.xml	1					
0001104659-24-000012	1526113	GLOBAL NET LEASE, INC.	6798	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR	212-415-6500	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR			452771978	AMERICAN REALTY CAPITAL GLOBAL TRUST, INC.	20120810	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 06:02:00.0	0	0	tm2333507d1_8k_htm.xml	1					
0001104659-24-000015	1657312	VERONA PHARMA PLC	2834	GB		LONDON	SE1 2RE	3 MORE LONDON RIVERSIDE		011-44-0-2032834200	GB		LONDON	SE1 2RE	3 MORE LONDON RIVERSIDE		GB		000000000			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 06:02:00.0	0	0	tm2333838d1_8k_htm.xml	1					
0001104659-24-000073	33213	EQT CORP	1311	US	PA	PITTSBURGH	15222	625 LIBERTY AVENUE	SUITE 1700	4125535700	US	PA	PITTSBURGH	15222	625 LIBERTY AVENUE	SUITE 1700	US	PA	250464690	EQT CORP /PA/	20090206	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 06:33:00.0	0	0	tm2333994d1_8k_htm.xml	1					
0001104659-24-000084	1640266	VOYAGER THERAPEUTICS, INC.	2836	US	MA	LEXINGTON	02421	75 HAYDEN AVENUE		857-259-5340	US	MA	LEXINGTON	02421	75 HAYDEN AVENUE		US	DE	000000000			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 07:06:00.0	0	0	tm241304d1_8k_htm.xml	1					
0001104659-24-000086	1489096	THERMON GROUP HOLDINGS, INC.	3620	US	TX	AUSTIN	78735	7171 SOUTHWEST PARKWAY	BUILDING 300, SUITE 200	5126900600	US	TX	AUSTIN	78735	7171 SOUTHWEST PARKWAY	BUILDING 300, SUITE 200	US	DE	272228185			2-ACC	0	0331	8-K	20231231			20240102	2024-01-02 07:11:00.0	1	0	tm2333961d1_8k_htm.xml	1					
0001104659-24-000087	1526243	PERPETUA RESOURCES CORP.	1040	US	ID	BOISE	83702	405 S. 8TH STREET		208-901-3060	US	ID	BOISE	83702	405 S. 8TH STREET		CA	BC	000000000	MIDAS GOLD CORP.	20110720	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 07:11:00.0	0	0	tm241339d1_8k_htm.xml	1					
0001104659-24-000088	1001082	DISH NETWORK CORP	4841	US	CO	ENGLEWOOD	80112	9601 S. MERIDIAN BLVD.		3037231000	US	CO	ENGLEWOOD	80112	9601 S. MERIDIAN BLVD.		US	NV	880336997	ECHOSTAR COMMUNICATIONS CORP	19950919	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 07:14:00.0	0	0	tm2333859d17_8k_htm.xml	1					
0001104659-24-000089	1415404	ECHOSTAR CORP	4899	US	CO	ENGLEWOOD	80112	100 INVERNESS TERRACE E.		303-723-1277	US	CO	ENGLEWOOD	80112	100 INVERNESS TERRACE E.		US	NV	261232727	ECHOSTAR HOLDING CORP	20071017	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 07:17:00.0	0	0	tm2333745d3_8k_htm.xml	1					
0001104659-24-000106	1737927	CANOPY GROWTH CORP	2833	CA	ON	SMITH FALLS	K7A0A8	1 HERSHEY DRIVE		855-558-9333	CA	ON	SMITH FALLS	K7A0A8	1 HERSHEY DRIVE		CA		000000000			1-LAF	0	0331	8-K	20231231			20240102	2024-01-02 07:49:00.0	0	0	tm2333987d1_8k_htm.xml	1					
0001104659-24-000112	1879848	PHOENIX MOTOR INC.	3713	US	CA	ONTARIO	91761	401 SOUTH DOUBLEDAY AVENUE		909-987-0815	US	CA	ONTARIO	91761	401 SOUTH DOUBLEDAY AVENUE		US	DE	000000000			4-NON	0		8-K	20231231			20240102	2024-01-02 07:59:00.0	0	0	tm241336d1_8k_htm.xml	1					
0001104659-24-000114	1915328	ISRAEL ACQUISITIONS CORP	6770	US	TX	BEE CAVE	78738	12600 HILL COUNTRY BLVD	BUILDING R, SUITE 275	(512) 287-1871	US	TX	BEE CAVE	78738	12600 HILL COUNTRY BLVD	BUILDING R, SUITE 275	KY		873587394			4-NON	0		8-K	20231231			20240102	2024-01-02 08:00:00.0	0	0	tm241338d1_8k_htm.xml	1					
0001104659-24-000116	888491	OMEGA HEALTHCARE INVESTORS INC	6798	US	MD	HUNT VALLEY	21030	303 INTERNATIONAL CIRCLE,	SUITE 200	410-427-1700	US	MD	HUNT VALLEY	21030	303 INTERNATIONAL CIRCLE,	SUITE 200	US	MD	383041398			1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 08:01:00.0	0	0	tm2333150d1_8k_htm.xml	1					
0001104659-24-000121	1472012	IMMUNOME INC.	2834	US	PA	EXTON	19341	665 STOCKTON DRIVE	SUITE 300	610-321-3700	US	PA	EXTON	19341	665 STOCKTON DRIVE	SUITE 300	US	DE	770694340			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 08:05:00.0	0	0	tm2334002d1_8k_htm.xml	1					
0001104659-24-000128	1035983	COMFORT SYSTEMS USA INC	1731	US	TX	HOUSTON	77057	675 BERING DRIVE	SUITE 400	7138309600	US	TX	HOUSTON	77057	675 BERING DRIVE	SUITE 400			760526487			1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 08:16:00.0	0	0	tm2333906d1_8k_htm.xml	1					
0001104659-24-000135	1831874	IRIS ACQUISITION CORP	6770	KY		GRAND CAYMAN	KY1-1001	3RD FLOOR ZEPHYR HOUSE, 122 MARY STREET	GEORGE TOWN, PO BOX 10085	971 4 3966949	KY		GRAND CAYMAN	KY1-1001	3RD FLOOR ZEPHYR HOUSE, 122 MARY STREET	GEORGE TOWN, PO BOX 10085	US	DE	000000000	TRIBE CAPITAL GROWTH CORP I	20201109	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 08:40:00.0	0	0	tm241346d1_8k_htm.xml	1					
0001104659-24-000138	1230245	PIPER SANDLER COMPANIES	6211	US	MN	MINNEAPOLIS	55402	800 NICOLLET MALL, SUITE 900		(612) 303-6000	US	MN	MINNEAPOLIS	55402	800 NICOLLET MALL, SUITE 900		US	DE	300168701	PIPER JAFFRAY COMPANIES	20030611	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 09:01:00.0	0	0	tm2333820d1_8k_htm.xml	1					
0001104659-24-000140	1739104	ELANCO ANIMAL HEALTH INC	2834	US	IN	GREENFIELD	46140	2500 INNOVATION WAY		877-352-6261	US	IN	GREENFIELD	46140	2500 INNOVATION WAY				825497352			1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 09:08:00.0	0	0	tm2334009d1_8k_htm.xml	1					
0001104659-24-000146	1425450	ORTHOPEDIATRICS CORP	3841	US	IN	WARSAW	46582	2850 FRONTIER DRIVE		574-268-6379	US	IN	WARSAW	46582	2850 FRONTIER DRIVE				261761833			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 09:25:00.0	0	0	tm2333951d1_8k_htm.xml	1					
0001104659-24-000156	1825384	STONE POINT CREDIT CORP		US	CT	GREENWICH	06830	20 HORSENECK LANE		(203) 862-2900	US	CT	GREENWICH	06830	20 HORSENECK LANE		US	DE	000000000	STONE POINT CAPITAL CREDIT LLC	20200918	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 10:28:00.0	0	0	tm2333948d1_8k_htm.xml	1					
0001104659-24-000232	91847	SOURCE CAPITAL INC /DE/		US	CA	LOS ANGELES	90025	11601 WILSHIRE BOULEVARD	SUITE 1200	310-473-0225	US	CA	LOS ANGELES	90025	11601 WILSHIRE BOULEVARD	SUITE 1200	US	DE	941679410	SMC INVESTMENT CORP	19721123		0	1231	8-K	20231231			20240102	2024-01-02 13:42:00.0	0	0	tm2333995d1_8k_htm.xml	1					
0001104659-24-000309	61398	TELLURIAN INC. /DE/	1311	US	TX	HOUSTON	77002	1201 LOUISIANA STREET	SUITE 3100	832-962-4000	US	TX	HOUSTON	77002	1201 LOUISIANA STREET	SUITE 3100	US	DE	060842255	MAGELLAN PETROLEUM CORP /DE/	19920703	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 15:51:00.0	0	0	tm2334007d1_8k_htm.xml	1					
0001104659-24-000321	1509223	MOATABLE, INC.	7372	US	AZ	PHOENIX	85003	45 WEST BUCHANAN STREET		833-258-7482	US	AZ	PHOENIX	85003	45 WEST BUCHANAN STREET				000000000	RENREN INC.	20110103	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 16:01:00.0	0	0	tm241348d1_8k_htm.xml	1					
0001104659-24-000325	1867066	JOURNEY MEDICAL CORP	2834	US	AZ	SCOTTSDALE	85258	9237 E VIA DE VENTURA BLVD., SUITE 105		480-434-6670	US	AZ	SCOTTSDALE	85258	9237 E VIA DE VENTURA BLVD., SUITE 105		US	DE	471879539			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 16:06:00.0	0	0	tm2333941d1_8k_htm.xml	1					
0001104659-24-000327	1750153	CANOO INC.	3714	US	CA	TORRANCE	90503	19951 MARINER AVENUE		(424) 271-2144	US	CA	TORRANCE	90503	19951 MARINER AVENUE		US	DE	831476189	HENNESSY CAPITAL ACQUISITION CORP IV	20180814	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 16:07:00.0	0	0	tm241500d1_8k_htm.xml	1					
0001104659-24-000333	1509589	CIVITAS RESOURCES, INC.	1311	US	CO	DENVER	80202	555 - 17TH STREET, SUITE 3700		303-293-9100	US	CO	DENVER	80202	555 - 17TH STREET, SUITE 3700		US	DE	611630631	BONANZA CREEK ENERGY, INC.	20110106	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:14:00.0	0	0	tm2333782d3_8k_htm.xml	1					
0001104659-24-000336	724742	TRINITY PLACE HOLDINGS INC.	6512	US	NY	NEW YORK	10173	340 MADISON AVENUE	SUITE 3C	(212) 235-2190	US	NY	NEW YORK	10173	340 MADISON AVENUE	SUITE 3C	US	DE	222465228	TRINITY PLACE HOLDINGS INC	20120914	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 16:15:00.0	0	0	tm241447d1_8k_htm.xml	1					
0001104659-24-000337	1083446	APOLLO MEDICAL HOLDINGS, INC.	8742	US	CA	ALHAMBRA	91801	1668 S. GARFIELD AVENUE	2ND FLOOR	(626) 282-0288	US	CA	ALHAMBRA	91801	1668 S. GARFIELD AVENUE	2ND FLOOR	US	DE	870042699	SICLONE INDUSTRIES INC	19990413	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:16:00.0	0	0	tm2333902d1_8k_htm.xml	1					
0001104659-24-000338	1270436	COHEN & CO INC.	6211	US	PA	PHILADELPHIA	19104-2870	CIRA CENTRE, 2929 ARCH STREET	17TH FLOOR	215-701-9555	US	PA	PHILADELPHIA	19104-2870	CIRA CENTRE, 2929 ARCH STREET	17TH FLOOR	US	MD	161685692	INSTITUTIONAL FINANCIAL MARKETS, INC.	20110121	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 16:16:00.0	0	0	tm2333684d2_8k_htm.xml	1					
0001104659-24-000339	1323468	GLOBAL PARTNERS LP	5171	US	MA	WALTHAM	02454	P.O. BOX 9161	800 SOUTH STREET, SUITE 500	(781) 894-8800	US	MA	WALTHAM	02454	P.O. BOX 9161	800 SOUTH STREET, SUITE 500			743140887	GLOBAL PARTNERS LP	20050411	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:16:00.0	0	0	tm2333871d1_8k_htm.xml	1					
0001104659-24-000348	1411579	AMC ENTERTAINMENT HOLDINGS, INC.	7830	US	KS	LEAWOOD	66211	ONE AMC WAY	11500 ASH STREET	913-213-2000	US	KS	LEAWOOD	66211	ONE AMC WAY	11500 ASH STREET	US	DE	260303916			1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:27:00.0	0	0	tm241463d1_8k_htm.xml	1					
0001104659-24-000353	1541157	AKARI THERAPEUTICS PLC	2834	US	MA	BOSTON	02210	22 BOSTON WHARF ROAD	FL 7	(646) 350-0702	US	MA	BOSTON	02210	22 BOSTON WHARF ROAD	FL 7	GB		981034922	CELSUS THERAPEUTICS PLC.	20130621	4-NON	0		8-K	20231231			20240102	2024-01-02 16:30:00.0	0	0	tm2334004d1_8k_htm.xml	1					
0001104659-24-000383	876883	STAGWELL INC	7311	US	NY	NEW YORK	10007	ONE WORLD TRADE CENTER, FLOOR 65		646 429 1800	US	NY	NEW YORK	10007	ONE WORLD TRADE CENTER, FLOOR 65		US	DE	980364441	MDC STAGWELL HOLDINGS INC	20210729	2-ACC	0	1231	8-K	20231231			20240102	2024-01-02 17:00:00.0	0	0	tm241498d1_8k_htm.xml	1					
0001104659-24-000384	1288403	W&T OFFSHORE INC	1311	US	TX	HOUSTON	77057-5745	5718 WESTHEIMER RD	SUITE 700	713-626-8525	US	TX	HOUSTON	77057-5745	5718 WESTHEIMER RD	SUITE 700	US	TX	721121985			2-ACC	0	1231	8-K	20231231			20240102	2024-01-02 17:00:00.0	0	0	tm2333891d1_8k_htm.xml	1					
0001104659-24-000386	1043961	PRECIPIO, INC.	3826	US	NE	OMAHA	68164	12325 EMMET ST		203 787 7888	US	CT	NEW HAVEN	06511	4 SCIENCE PARK		US	DE	911789357	TRANSGENOMIC INC	20000119	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 17:01:00.0	0	0	tm241487d1_8k_htm.xml	1					
0001104659-24-000390	1837412	SOMALOGIC, INC.	8731	US	CO	BOULDER	80301	C/O SOMALOGIC, INC.	2945 WILDERNESS PLACE	(303) 625-9000	US	CO	BOULDER	80301	C/O SOMALOGIC, INC.	2945 WILDERNESS PLACE	US	DE	854298912	CM LIFE SCIENCES II INC.	20201221	4-NON	0	1231	8-K	20231231			20240102	2024-01-02 17:05:00.0	0	0	tm2333952d5_8k_htm.xml	1					
0001104659-24-000401	1509589	CIVITAS RESOURCES, INC.	1311	US	CO	DENVER	80202	555 - 17TH STREET, SUITE 3700		303-293-9100	US	CO	DENVER	80202	555 - 17TH STREET, SUITE 3700		US	DE	611630631	BONANZA CREEK ENERGY, INC.	20110106	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 17:16:00.0	0	0	tm2333782d4_8k_htm.xml	1					
0001104659-24-000411	1829953	CORNER GROWTH ACQUISITION CORP.	6770	US	CA	PALO ALTO	94301	251 LYTTON AVENUE, SUITE 200		650-543-8180	US	CA	PALO ALTO	94301	251 LYTTON AVENUE, SUITE 200		KY		000000000			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 17:28:00.0	0	0	tm241451-1_8k_htm.xml	1					
0001104659-24-000415	1844981	STONEBRIDGE ACQUISITION CORP.	7372	US	TX	SOUTHLAKE	76092	1104 LINNEA LN.		646-314-3555	US	TX	SOUTHLAKE	76092	1104 LINNEA LN.		KY		000000000			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 17:29:00.0	0	0	tm2333879d1_8k_htm.xml	1					
